Common Name           ;Gl/GJ   ;Variable  ;Cst  ;RA_J2000   De_J2000  ;PMtot ;PosAng ;TrigPar  ;Error  ;Spect. Type  ;AparMag    ;P/D;Comments
LHS 454               ;693     ;          ;Pav  ;17 46 34.2 -57 19 09 ; 1.76 ; 219.6 ; 169.86  ; 0.12  ; M 3   V     ; 10.76 V   ;   ;
Wolf 1055 (A)         ;752 A   ;V1428 Aql ;Aql  ;19 16 55.3 +05 10 08 ; 1.45 ; 203.5 ; 169.67  ; 0.19  ; M 2.5 V     ;  9.10 V   ; y ;
van Biesbr. 10 (B)    ;752 B   ;V1298 Aql ;Aql  ;19 16 58.3 +05 09 01 ; 1.46 ; 203.1 ; 169.67  ; 0.19  ; M 8   V     ; 17.45 V   ;   ;
WISE J1541-2250       ;        ;          ;Lib  ;15 41 51.6 -22 50 25 ; 0.90 ; 264.4 ; 169.6   ; 1.8   ; Y 1   V     ; 21.38 J   ;   ;
BD+1 4774             ;908     ;BR Psc    ;Psc  ;23 49 12.5 +02 24 04 ; 1.39 ; 134.2 ; 168.98  ; 0.36  ; M 1   V     ;  8.98 V   ;   ;
CD-40 9712            ;588     ;          ;Lup  ;15 32 12.9 -41 16 32 ; 1.56 ; 228.9 ; 168.72  ; 0.51  ; M 2.5 V     ;  9.31 V   ; y ;
Eta Cassiopeiae A     ;34 A    ;          ;Cas  ;00 49 06.3 +57 48 55 ; 1.22 ; 117.2 ; 168.30  ; 0.46  ; G 3   V     ;  3.46 V   ;   ;
Eta Cassiopeiae B     ;34 B    ;          ;Cas  ;00 49 06.3 +57 48 55 ; 1.22 ; 117.2 ; 168.30  ; 0.46  ; K 7   V     ;  7.21 V   ;   ;
36 Ophiuchi A         ;663 A   ;          ;Oph  ;17 15 21.0 -26 36 10 ; 1.24 ; 202.5 ; 168.12  ; 0.40  ; K 1   V     ;  5.07 V   ;   ;
36 Ophiuchi B         ;663 B   ;          ;Oph  ;17 15 21.0 -26 36 10 ; 1.24 ; 202.5 ; 168.12  ; 0.40  ; K 0   V     ;  5.08 V   ;   ;
36 Ophiuchi C         ;664     ;V2215 Oph ;Oph  ;17 16 13.4 -26 32 46 ; 1.22 ; 203.1 ; 168.12  ; 0.40  ; K 5   V     ;  6.32 V   ;   ;
Ross 882              ;285     ;YZ CMi    ;CMi  ;07 44 40.2 +03 33 09 ; 0.57 ; 217.4 ; 167.019 ; 0.059 ; M 4   V     ; 11.19 V   ;   ;
HD 191408 (A)         ;783 A   ;          ;Sgr  ;20 11 11.9 -36 06 04 ; 1.64 ; 163.8 ; 166.26  ; 0.27  ; K 2.5 V     ;  5.31 V   ;   ;
LHS 487 (B)           ;783 B   ;          ;Sgr  ;20 11 11.9 -36 06 04 ; 1.64 ; 163.8 ; 166.26  ; 0.27  ; M 4   V     ; 11.5  V   ;   ;
82 G. Eridani         ;139     ;          ;Eri  ;03 19 55.6 -43 04 11 ; 3.12 ; 76.6  ; 165.47  ; 0.19  ; G 8   V     ;  4.26 V   ; y ;
Ross 986 A            ;268     ;QY Aur    ;Aur  ;07 10 01.8 +38 31 46 ; 1.04 ; 204.9 ; 164.62  ; 0.13  ; M 4.5 V     ; 12.05 V   ;   ;
Ross 986 B            ;        ;          ;Aur  ;07 10 01.8 +38 31 46 ; 1.04 ; 204.9 ; 164.62  ; 0.13  ; M 5   V     ; 12.45 V   ;   ;
Delta Pavonis         ;780     ;          ;Pav  ;20 08 43.6 -66 10 55 ; 1.66 ; 133.0 ; 163.71  ; 0.17  ; G 8   IV    ;  3.55 V   ;   ;
2MASS J0937+2931      ;        ;          ;Leo  ;09 37 34.9 +29 31 41 ; 1.62 ; 143.1 ; 163.3   ; 1.6   ; T 6   V p   ; 14.65 J   ;   ;
WISE J0254+0223       ;        ;          ;Cet  ;02 54 07.9 +02 23 56 ; 2.55 ; 275.5 ; 162.6   ; 4.2   ; T 8   V     ; 16.14 J   ;   ;PSO J043.5395+02.3995
SIMP J0136+0933       ;        ;          ;Psc  ;01 36 56.6 +09 33 47 ; 1.24 ; 90.2  ; 162.09  ; 0.57  ; T 2.5 V     ; 13.46 J   ;   ;
HD 191849             ;784     ;          ;Tel  ;20 13 53.4 -45 09 50 ; 0.79 ; 101.6 ; 162.05  ; 0.45  ; M 0   V     ;  7.95 V   ; y ;
LHS 455               ;1221    ;          ;Dra  ;17 48 06.7 +70 52 29 ; 1.65 ; 311.0 ; 160.982 ; 0.014 ; DXP 9       ; 14.22 V   ;   ;
BD-11 3759            ;555     ;HN Lib    ;Lib  ;14 34 16.8 -12 31 10 ; 0.69 ; 329.0 ; 160.01  ; 0.74  ; M 4   V     ; 11.32 V   ; y ;
BD+19 5116 Aab        ;896 A   ;          ;Peg  ;23 31 52.2 +19 56 14 ; 0.56 ; 96.4  ; 159.9   ; 1.5   ; M 3.5 V c   ; 10.27 V c ;   ;Per= 4.083 d, MAa= >=0.271 MSun, MAb= >=0.218 MSun, (Cassy+, 2013)
BD+19 5116 Bab        ;896 B   ;EQ Peg    ;Peg  ;23 31 52.2 +19 56 14 ; 0.56 ; 96.4  ; 159.9   ; 1.5   ; M 4.5 V c   ; 12.21 V c ;   ;Per= 1.795 d, MBa= 0.29: MSun, MBb= >=0.056 MSun, (Cassy+, 2013)
HD 79210 Aab?         ;338 A   ;          ;UMa  ;09 14 22.8 +52 41 12 ; 1.63 ; 249.8 ; 158.99  ; 0.38  ; K 9   V c?  ;  7.64 V c?;   ;
HD 79211              ;338 B   ;          ;UMa  ;09 14 24.7 +52 41 11 ; 1.68 ; 247.1 ; 158.99  ; 0.38  ; K 9   V     ;  7.70 V   ;   ;
Wolf 562              ;581     ;HO lib    ;Lib  ;15 19 26.8 -07 43 20 ; 1.23 ; 265.4 ; 158.78  ; 0.33  ; M 3   V     ; 10.57 V   ; y ;
2MASS J1503+2525      ;        ;          ;Boo  ;15 03 19.6 +25 25 20 ; 0.55 ; 8.2   ; 157.2   ; 2.2   ; T 6   V     ; 13.94 J   ;   ;
HD 155876 A           ;661 A   ;          ;Her  ;17 12 07.9 +45 39 57 ; 1.62 ; 168.4 ; 157.1   ; 1.2   ; M 3   V     ;  9.93 V   ;   ;
HD 155876 B           ;661 B   ;          ;Her  ;17 12 07.9 +45 39 57 ; 1.62 ; 168.4 ; 157.1   ; 1.2   ; M 3   V     ; 10.35 V   ;   ;
LHS 2090              ;        ;          ;Cnc  ;09 00 23.5 +21 50 05 ; 0.79 ; 220.5 ; 156.76  ; 0.13  ; M 6   V     ; 16.10 V   ;   ;
G 99-44               ;223.2   ;          ;Ori  ;05 55 09.7 -04 10 17 ; 2.38 ; 166.6 ; 156.01  ; 0.75  ; DZ 9        ; 14.47 V   ;   ;
LP 944-20             ;        ;          ;For  ;03 39 35.2 -35 25 41 ; 0.44 ; 47.6  ; 155.50  ; 0.52  ; M 9   V     ; 18.69 V   ;   ;
G 12-30               ;1156    ;GL Vir    ;Vir  ;12 19 00.3 +11 07 31 ; 1.30 ; 279.1 ; 154.51  ; 0.11  ; M 5   V     ; 13.80 V   ;   ;
Wolf 630 (A)          ;644 A   ;V1054 Oph ;Oph  ;16 55 28.8 -08 20 11 ; 1.21 ; 223.3 ; 154.00  ; 0.22  ; M 2.5 V     ;  9.36 V   ;   ;
Wolf 630 (Ba)         ;644 B   ;          ;Oph  ;16 55 28.8 -08 20 11 ; 1.21 ; 223.3 ; 154.00  ; 0.22  ; M 3   V     ;  9.98 V   ;   ;
Wolf 630 (Bb)         ;        ;          ;Oph  ;16 55 28.8 -08 20 11 ; 1.21 ; 223.3 ; 154.00  ; 0.22  ; M 3.5 V     ; 10.32 V   ;   ;
van Biesbr. 8 (C)     ;644 C   ;          ;Oph  ;16 55 35.8 -08 23 40 ; 1.19 ; 222.5 ; 154.00  ; 0.22  ; M 7   V     ; 16.78 V   ;   ;
Wolf 629 (D)          ;643     ;          ;Oph  ;16 55 25.2 -08 19 21 ; 1.21 ; 222.3 ; 154.00  ; 0.22  ; M 3.5 V     ; 11.80 V   ;   ;
G 202-48              ;625     ;          ;Dra  ;16 25 24.6 +54 18 15 ; 0.46 ; 111.5 ; 153.82  ; 0.50  ; M 1.5 V     ; 10.10 V   ; y ;
LHS 271               ;1128    ;          ;Car  ;09 42 46.4 -68 53 06 ; 1.02 ; 109.5 ; 153.42  ; 0.39  ; M 4   V     ; 12.74 V   ;   ;
WISE J0313+7807       ;        ;          ;Cep  ;03 13 26.0 +78 07 44 ; 0.15 ; 91.6  ; 153     ;15     ; T 8.5 V     ; 17.67 J   ;   ;
WISE J2209+2711       ;        ;          ;Peg  ;22 09 05.7 +27 11 44 ; 1.37 ; 132.0 ; 152.9   ; 5.0   ; Y 0   V     ; 22.72 J   ;   ;Or Y 1, very uncertain pm (AllWISE)
HD 219134             ;892     ;          ;Cas  ;23 13 17.0 +57 10 06 ; 2.10 ; 81.9  ; 152.83  ; 0.28  ; K 3   V     ;  5.54 V   ; y ;HR 8832
WISE J0410+1502       ;        ;          ;Tau  ;04 10 22.8 +15 02 47 ; 2.43 ; 156.7 ; 152.6   ; 3.3   ; Y 0   V     ; 19.41 J   ;   ;
WISE J1405+5534       ;        ;          ;UMa  ;14 05 18.3 +55 34 21 ; 2.28 ; 277.3 ; 150.9   ; 4.7   ; Y 0.5 V     ; 21.06 J   ;   ;
LHS 337               ;3737    ;          ;Cen  ;12 38 49.1 -38 22 53 ; 1.51 ; 202.1 ; 149.14  ; 0.54  ; M 4   V     ; 12.75 V   ;   ;
WISE J0720-0846 A     ;        ;          ;Mon  ;07 20 02.2 -08 47 00 ; 0.12 ; 199.3 ; 148.8   ; 1.1   ; M 9.5 V     ; 18.50 V   ;   ;Scholz's star
WISE J0720-0846 B     ;        ;          ;Mon  ;07 20 02.2 -08 47 00 ; 0.12 ; 199.3 ; 148.8   ; 1.1   ; T 5   V     ; 13.93 J   ;   ;Delta_J= 3.3 +-0.2
Ksi Bootis A          ;566 A   ;          ;Boo  ;14 51 23.4 +19 06 02 ; 0.17 ; 115.0 ; 148.55  ; 0.40  ; G 8   V     ;  4.70 V   ;   ;
Ksi Bootis B          ;566 B   ;          ;Boo  ;14 51 23.4 +19 06 02 ; 0.17 ; 115.0 ; 148.55  ; 0.40  ; K 4   V     ;  6.97 V   ;   ;
Ross 104              ;408     ;          ;Leo  ;11 00 04.3 +22 49 59 ; 0.51 ; 236.7 ; 148.128 ; 0.057 ; M 2.5 V     ; 10.02 V   ;   ;
G 41-14 A             ;3522    ;          ;Cnc  ;08 58 56.1 +08 28 28 ; 0.46 ; 134.2 ; 148.0   ; 2.0   ; M 3.5 V     ; 11.94 V   ;   ;
G 41-14 B             ;        ;          ;Cnc  ;08 58 56.1 +08 28 28 ; 0.46 ; 134.2 ; 148.0   ; 2.0   ; M 3.5 V     ; 12.14 V   ;   ;
G 41-14 C             ;        ;          ;Cnc  ;08 58 56.1 +08 28 28 ; 0.46 ; 134.2 ; 148.0   ; 2.0   ; M 3.5 V     ; 12.28 V   ;   ;
Ross 775 A            ;829     ;          ;Peg  ;21 29 36.8 +17 38 36 ; 1.08 ; 69.5  ; 147.613 ; 0.098 ; M 3.5 V     ; 11.05 V   ;   ;All equal. Not a typo.
Ross 775 B            ;        ;          ;Peg  ;21 29 36.8 +17 38 36 ; 1.08 ; 69.5  ; 147.613 ; 0.098 ; M 3.5 V     ; 11.05 V   ;   ;All equal. Not a typo.
Ross 619              ;299     ;          ;Cnc  ;08 11 57.5 +08 46 28 ; 5.21 ; 167.1 ; 147.12  ; 0.44  ; M 4   V     ; 12.82 V   ;   ;
Ross 671              ;880     ;          ;Peg  ;22 56 34.8 +16 33 12 ; 1.07 ; 254.7 ; 146.07  ; 0.45  ; M 1.5 V     ;  8.66 V   ; y ;
BD-17 588 A           ;3193    ;          ;Eri  ;03 01 51.4 -16 35 36 ; 0.47 ; 229.7 ; 145.55  ; 0.08  ; M 2.5 V     ; 11.22 V   ; y ;
BD-17 588 Ba          ;3192 A  ;          ;Eri  ;03 01 51.1 -16 35 31 ; 0.47 ; 229.7 ; 145.55  ; 0.08  ; M 3.5 V     ; 11.78 V   ;   ;
BD-17 588 Bb          ;3192 B  ;          ;Eri  ;03 01 51.1 -16 35 31 ; 0.47 ; 229.7 ; 145.55  ; 0.08  ; M 4   V     ; 12.64 V   ;   ;
WISE J1928+2356       ;        ;          ;Vul  ;19 28 41.4 +23 56 05 ; 0.99 ; 253.7 ; 145.1   ; 5.2   ; T 6   V     ; 14.34 J   ;   ;
WISE J0825+2805       ;        ;          ;Cnc  ;08 25 07.4 +28 05 48 ; 0.50 ; 138.0 ; 144.3   ; 3.7   ; Y 0.5 V     ; 22.4  J   ;   ;PM is very uncertain
Wolf 358              ;402     ;EE Leo    ;Leo  ;10 50 52.1 +06 48 29 ; 1.15 ; 225.1 ; 143.99  ; 0.65  ; M 4   V     ; 11.67 V   ;   ;
LHS 2272              ;393     ;          ;Sex  ;10 28 55.6 +00 50 28 ; 0.95 ; 219.6 ; 142.189 ; 0.050 ; M 2.5 V     ;  9.64 V   ; y ;
HD 199305             ;809     ;          ;Cep  ;20 53 19.8 +62 09 16 ; 0.77 ; 179.9 ; 142.06  ; 0.28  ; M 2   V     ;  8.60 V   ;   ;
LSPM J2146+3813 A     ;        ;          ;Cyg  ;21 46 22.1 +38 13 05 ; 0.21 ; 125.8 ; 142.052 ; 0.051 ; M 4   V     ; 12.32 V c ;   ;M= 0.24 +-0.08 MSun
LSPM J2146+3813 B     ;        ;          ;Cyg  ;21 46 22.1 +38 13 05 ; 0.21 ; 125.8 ; 142.052 ; 0.051 ; M 5.5 V     ; 12.32 V c ;   ;M= 0.12 +-0.03 MSun, ST derived from mass
LHS 3003              ;3877    ;          ;Hya  ;14 56 38.5 -28 09 51 ; 0.96 ; 210.1 ; 141.37  ; 0.52  ; M 7   V     ; 17.05 V   ;   ;
WISE J0005+3737       ;        ;          ;And  ;00 05 17.5 +37 37 20 ; 0.62 ; 113.7 ; 141     ;46     ; T 9   V     ; 18.33 J   ;   ;
LHS 22                ;1068    ;          ;Dor  ;04 10 28.2 -53 36 08 ; 3.77 ; 223.3 ; 140.556 ; 0.035 ; M 4.5 V     ; 13.62 V   ;   ;
WISE J2056+1459       ;        ;          ;Del  ;20 56 28.9 +14 59 54 ; 0.91 ; 56.7  ; 140.3   ; 3.2   ; Y 0   V     ; 19.36 J   ;   ;
WISE J0521+1025       ;        ;          ;Ori  ;05 21 26.3 +10 25 27 ; 0.48 ; 151.0 ; 139.7   ; 4.8   ; T 7.5 V     ; 15.26 J   ;   ;
LHS 546               ;1286    ;          ;Psc  ;23 35 10.5 -02 23 21 ; 1.28 ; 138.4 ; 139.36  ; 0.53  ; M 5.5 V     ; 14.69 V   ;   ;
HD 16160 A            ;105 A   ;          ;Cet  ;02 36 04.9 +06 53 13 ; 2.31 ; 51.4  ; 138.79  ; 0.43  ; K 3   V     ;  5.82 V   ;   ;
HD 16160 B            ;105 B   ;BX Cet    ;Cet  ;02 36 15.4 +06 52 19 ; 2.32 ; 51.4  ; 138.79  ; 0.43  ; M 4.5 V     ; 11.66 V   ;   ;
HD 16160 C            ;        ;          ;Cet  ;02 36 04.7 +06 53 15 ; 2.31 ; 51.4  ; 138.79  ; 0.43  ; M 6.5 V     ; 16.77 V   ;   ;
WISE J0607+2429       ;        ;          ;Gem  ;06 07 39.1 +24 29 57 ; 0.57 ; 234.9 ; 138.55  ; 0.77  ; L 9   V     ; 14.22 J   ;   ;
HD 156384 (Aa)        ;667 A   ;          ;Sco  ;17 18 57.2 -34 59 23 ; 1.13 ; 93.9  ; 138.54  ; 0.66  ; K 3   V     ;  6.29 V   ;   ;
HD 156384 (Ab)        ;667 B   ;          ;Sco  ;17 18 57.2 -34 59 23 ; 1.13 ; 93.9  ; 138.54  ; 0.66  ; K 5   V     ;  7.24 V   ;   ;
LHS 443 (C)           ;667 C   ;          ;Sco  ;17 18 58.8 -34 59 49 ; 1.17 ; 100.5 ; 138.54  ; 0.66  ; M 1.5 V     ; 10.22 V   ; y ;
2MASS J0835-0819      ;        ;V488 Hya  ;Hya  ;08 35 42.6 -08 19 24 ; 0.59 ; 298.8 ; 137.85  ; 0.32  ; L 5   V     ; 21.00 V   ;   ;J= 13.17
LHS 3799              ;4274    ;          ;Aqr  ;22 23 07.0 -17 36 25 ; 0.93 ; 164.5 ; 137.59  ; 0.48  ; M 4   V     ; 13.25 V   ;   ;
WISE J0049+2151       ;        ;          ;And  ;00 49 45.6 +21 51 20 ; 0.98 ; 292.5 ; 137     ;36     ; T 8.5 V     ; 16.72 J   ;   ;
2MASS J1507-1627      ;        ;          ;Lib  ;15 07 47.7 -16 27 39 ; 0.88 ; 186.0 ; 136.15  ; 0.26  ; L 5   V     ; 22.14 V   ;   ;
G 203-47 A            ;3991    ;          ;Her  ;17 09 31.5 +43 40 53 ; 0.44 ; 130.1 ; 134.60  ; 0.49  ; M 3.5 V     ; 11.78 V c ;   ;Post common env system
G 203-47 B            ;        ;          ;Her  ;17 09 31.5 +43 40 53 ; 0.44 ; 130.1 ; 134.60  ; 0.49  ; DA          ; 11.78 V c ;   ;Post common env system
HD 4628               ;33      ;          ;Psc  ;00 48 23.0 +05 16 50 ; 1.37 ; 146.4 ; 134.26  ; 0.49  ; K 2.5 V     ;  5.74 V   ;   ;
LHS 3746              ;4248    ;          ;Gru  ;22 02 29.4 -37 04 51 ; 0.97 ; 110.3 ; 134.2   ; 1.3   ; M 3.5 V     ; 11.8  V   ;   ;
Beta Hydri            ;19      ;          ;Hyi  ;00 25 45.1 -77 15 15 ; 2.24 ; 81.7  ; 134.07  ; 0.11  ; G 2   IV    ;  2.80 V   ; y ;Dubious planet
107 Piscium           ;68      ;          ;Psc  ;01 42 30.2 +20 16 07 ; 0.75 ; 203.5 ; 132.76  ; 0.49  ; K 1   V     ;  5.22 V   ;   ;
Mu Cassiopeiae A      ;53 A    ;          ;Cas  ;01 08 16.7 +54 55 11 ; 3.77 ; 114.7 ; 132.57  ; 0.57  ; G 5   VI    ;  5.17 V   ;   ;Marfak (west)
Mu Cassiopeiae B      ;53 B    ;          ;Cas  ;01 08 16.7 +54 55 11 ; 3.77 ; 114.7 ; 132.57  ; 0.57  ; M 3.5 VI    ; 11.71 V   ;   ;
WISE J1738+2732       ;        ;          ;Her  ;17 38 35.5 +27 32 59 ; 1.14 ; 148.1 ; 131.9   ; 3.3   ; Y 0   V     ; 19.92 J   ;   ;
BD+11 2576            ;514     ;          ;Vir  ;13 29 59.9 +10 22 38 ; 1.55 ; 134.3 ; 131.76  ; 0.98  ; M 1   V     ;  9.05 V   ; y ;
Fomalhaut (B)         ;879     ;TW PsA    ;PsA  ;22 56 23.6 -31 33 53 ; 0.36 ; 114.6 ; 131.438 ; 0.086 ; K 5   V     ;  6.48 V   ; y?;Poss Jovian planet detected by astrometry: M= 1.2 +0.7 -0.6 MJ, Per= 25 +52-21 y (de Rosa, 2019)
G 141-36              ;        ;          ;Aql  ;18 48 17.5 +07 41 21 ; 0.45 ; 56.8  ; 131.199 ; 0.079 ; M 5   V     ; 14.63 V   ;   ;
WISE J2000+3629       ;        ;          ;Cyg  ;20 00 50.2 +36 29 50 ; 0.60 ; 250.0 ; 130.8   ; 2.9   ; T 8   V     ; 15.44 J   ;   ;PM is very uncertain
LHS 3376              ;4053    ;          ;Dra  ;18 18 57.3 +66 11 33 ; 0.63 ; 135.3 ; 130.772 ; 0.044 ; M 4.5 V     ; 13.48 V   ;   ;LSPM J1818+6611
LP 876-10 (C)         ;        ;          ;Aqr  ;22 48 04.5 -24 22 08 ; 0.38 ; 118.0 ; 130.303 ; 0.075 ; M 4   V     ; 12.62 V   ; y ;Fomalhaut C, dust + comets
G 36-31               ;109     ;VX Ari    ;Ari  ;02 44 15.6 +25 31 21 ; 0.92 ; 113.8 ; 130.187 ; 0.061 ; M 3.5 V     ; 10.57 V   ;   ;
Vega                  ;721     ;          ;Lyr  ;18 36 56.7 +38 47 03 ; 0.35 ; 35.2  ; 129.88  ; 0.32  ; A 0   V     ;  0.03 V   ; y ;Alpha Lyrae
Fomalhaut (A)         ;881     ;          ;PsA  ;22 57 39.6 -29 37 22 ; 0.37 ; 115.6 ; 129.85  ; 0.47  ; A 3   V     ;  1.16 V   ; y ;Alpha Piscis Austrini, debris disk
LHS 1070 A            ;2005    ;          ;Scl  ;00 24 44.2 -27 08 25 ; 0.61 ; 354.9 ; 129.8   ; 2.4   ; M 5.5 V     ; 15.35 V   ;   ;
LHS 1070 B            ;        ;          ;Scl  ;00 24 44.2 -27 08 25 ; 0.61 ; 354.9 ; 129.8   ; 2.4   ; M 8.5 V     ; 18.68 V   ;   ;
LHS 1070 C            ;        ;          ;Scl  ;00 24 44.2 -27 08 25 ; 0.61 ; 354.9 ; 129.8   ; 2.4   ; M 9.5 V     ; 19.07 V   ;   ;
LHS 1805              ;3378    ;          ;Cam  ;06 01 11.1 +59 35 51 ; 0.65 ; 200.0 ; 129.459 ; 0.080 ; M 3.5 V     ; 11.71 V   ;   ;LSPM J0601+5935
HD 165222             ;701     ;          ;Ser  ;18 05 07.2 -03 01 54 ; 0.64 ; 121.1 ; 129.392 ; 0.061 ; M 2   V     ;  9.38 V   ;   ;
HD 157881             ;673     ;          ;Oph  ;17 25 45.4 +02 06 38 ; 1.32 ; 206.1 ; 129.34  ; 0.24  ; K 7   V     ;  7.53 V   ;   ;
LHS 223               ;1093    ;          ;Gem  ;06 59 28.4 +19 20 52 ; 1.22 ; 137.3 ; 129.00  ; 0.17  ; M 5   V     ; 14.83 V   ;   ;
SIPS J1259-4336       ;        ;          ;Cen  ;12 59 04.7 -43 36 24 ; 1.13 ; 104.0 ; 128.60  ; 0.68  ; M 8   V     ; 17.5  V   ;   ;
